Seq,AOU,English_Common_Name,French_Common_Name,Spanish_Common_Name,ORDER,Family,Genus,Species
3664,7060,Long-billed Thrasher,Moqueur ? long bec,Toxostoma longirostre,Passeriformes,Mimidae,Toxostoma,longirostre
3667,17120,Cozumel Thrasher,Moqueur de Cozumel,Toxostoma guttatum,Passeriformes,Mimidae,Toxostoma,guttatum
3670,7090,Gray Thrasher,Moqueur gris,Toxostoma cinereum,Passeriformes,Mimidae,Toxostoma,cinereum
3673,7080,Bendire's Thrasher,Moqueur de Bendire,Toxostoma bendirei,Passeriformes,Mimidae,Toxostoma,bendirei
3676,17130,Ocellated Thrasher,Moqueur ocell?,Toxostoma ocellatum,Passeriformes,Mimidae,Toxostoma,ocellatum
3679,7070,Curve-billed Thrasher,Moqueur ? bec courbe,Toxostoma curvirostre,Passeriformes,Mimidae,Toxostoma,curvirostre
3682,7100,California Thrasher,Moqueur de Californie,Toxostoma redivivum,Passeriformes,Mimidae,Toxostoma,redivivum
3685,7120,Crissal Thrasher,Moqueur cul-roux,Toxostoma crissale,Passeriformes,Mimidae,Toxostoma,crissale
3688,7110,Le Conte's Thrasher,Moqueur de Le Conte,Toxostoma lecontei,Passeriformes,Mimidae,Toxostoma,lecontei
3691,17150,Blue Mockingbird,Moqueur bleu,Melanotis caerulescens,Passeriformes,Mimidae,Melanotis,caerulescens
3694,17160,Blue-and-white Mockingbird,Moqueur bleu et blanc,Melanotis hypoleucus,Passeriformes,Mimidae,Melanotis,hypoleucus
3697,17180,Pearly-eyed Thrasher,Moqueur corossol,Margarops fuscatus,Passeriformes,Mimidae,Margarops,fuscatus
3700,4930,European Starling,?tourneau sansonnet,Sturnus vulgaris,Passeriformes,Sturnidae,Sturnus,vulgaris
3703,4932,Common Myna,Martin triste,Acridotheres tristis,Passeriformes,Sturnidae,Acridotheres,tristis
3706,17520,Hill Myna,Mainate religieux,Gracula religiosa,Passeriformes,Sturnidae,Gracula,religiosa
3709,4931,Crested Myna,Martin hupp?,Acridotheres cristatellus,Passeriformes,Sturnidae,Acridotheres,cristatellus
3712,7491,Siberian Accentor,Accenteur montanelle,Prunella montanella,Passeriformes,Prunellidae,Prunella,montanella
3715,6960,Eastern Yellow Wagtail,Bergeronnette de B?ringie,Motacilla tschutschensis,Passeriformes,Motacillidae,Motacilla,tschutschensis
3721,6961,Gray Wagtail,Bergeronnette des ruisseaux,Motacilla cinerea,Passeriformes,Motacillidae,Motacilla,cinerea
3724,6940,White Wagtail,Bergeronnette grise,Motacilla alba,Passeriformes,Motacillidae,Motacilla,alba
3727,6982,Tree Pipit,Pipit des arbres,Anthus trivialis,Passeriformes,Motacillidae,Anthus,trivialis
3730,6983,Olive-backed Pipit,Pipit ? dos olive,Anthus hodgsoni,Passeriformes,Motacillidae,Anthus,hodgsoni
3733,6981,Pechora Pipit,Pipit de la Petchora,Anthus gustavi,Passeriformes,Motacillidae,Anthus,gustavi
3736,6990,Red-throated Pipit,Pipit ? gorge rousse,Anthus cervinus,Passeriformes,Motacillidae,Anthus,cervinus
3739,6970,American Pipit,Pipit d'Am?rique,Anthus rubescens,Passeriformes,Motacillidae,Anthus,rubescens
3742,7000,Sprague's Pipit,Pipit de Sprague,Anthus spragueii,Passeriformes,Motacillidae,Anthus,spragueii
3745,6180,Bohemian Waxwing,Jaseur bor?al,Bombycilla garrulus,Passeriformes,Bombycillidae,Bombycilla,garrulus
3748,6190,Cedar Waxwing,Jaseur d'Am?rique,Bombycilla cedrorum,Passeriformes,Bombycillidae,Bombycilla,cedrorum
3751,6185,unid. Cedar Waxwing / Bohemian Waxwing,unid Jaseur sp.,Bombycilla garrulus / cedrorum,Passeriformes,Bombycillidae,Bombycilla,garrulus / cedrorum
3754,17220,Gray Silky-flycatcher,Ptilogon cendr?,Ptilogonys cinereus,Passeriformes,Ptilogonatidae,Ptilogonys,cinereus
3757,6200,Phainopepla,Ph?nop?ple luisant,Phainopepla nitens,Passeriformes,Ptilogonatidae,Phainopepla,nitens
3760,6510,Olive Warbler,Fauvine des pins,Peucedramus taeniatus,Passeriformes,Peucedramidae,Peucedramus,taeniatus
3763,5360,Lapland Longspur,Bruant lapon,Calcarius lapponicus,Passeriformes,Calcariidae,Calcarius,lapponicus
3766,5380,Chestnut-collared Longspur,Bruant ? ventre noir,Calcarius ornatus,Passeriformes,Calcariidae,Calcarius,ornatus
3769,5370,Smith's Longspur,Bruant de Smith,Calcarius pictus,Passeriformes,Calcariidae,Calcarius,pictus
3772,5390,McCown's Longspur,Bruant de McCown,Rhynchophanes mccownii,Passeriformes,Calcariidae,Rhynchophanes,mccownii
3775,5340,Snow Bunting,Bruant des neiges,Plectrophenax nivalis,Passeriformes,Calcariidae,Plectrophenax,nivalis
3778,5350,McKay's Bunting,Bruant blanc,Plectrophenax hyperboreus,Passeriformes,Calcariidae,Plectrophenax,hyperboreus
3781,6740,Ovenbird,Paruline couronn?e,Seiurus aurocapilla,Passeriformes,Parulidae,Seiurus,aurocapilla
3784,6390,Worm-eating Warbler,Paruline vermivore,Helmitheros vermivorum,Passeriformes,Parulidae,Helmitheros,vermivorum
3787,6760,Louisiana Waterthrush,Paruline hochequeue,Parkesia motacilla,Passeriformes,Parulidae,Parkesia,motacilla
3790,6750,Northern Waterthrush,Paruline des ruisseaux,Parkesia noveboracensis,Passeriformes,Parulidae,Parkesia,noveboracensis
3793,6420,Golden-winged Warbler,Paruline ? ailes dor?es,Vermivora chrysoptera,Passeriformes,Parulidae,Vermivora,chrysoptera
3796,6410,Blue-winged Warbler,Paruline ? ailes bleues,Vermivora cyanoptera,Passeriformes,Parulidae,Vermivora,cyanoptera
3799,6412,Brewster's Warbler (Golden-winged x Blue-winged),Paruline de Brewster,Vermivora chrysoptera x cyanoptera,Passeriformes,Parulidae,Vermivora,chrysoptera x cyanoptera
3802,6413,Lawrence's Warbler (Golden-winged x Blue-winged),Paruline de Lawrence,Vermivora chrysoptera x cyanoptera,Passeriformes,Parulidae,Vermivora,chrysoptera x cyanoptera
3805,6360,Black-and-white Warbler,Paruline noir et blanc,Mniotilta varia,Passeriformes,Parulidae,Mniotilta,varia
3808,6370,Prothonotary Warbler,Paruline orang?e,Protonotaria citrea,Passeriformes,Parulidae,Protonotaria,citrea
3811,6380,Swainson's Warbler,Paruline de Swainson,Limnothlypis swainsonii,Passeriformes,Parulidae,Limnothlypis,swainsonii
3814,6492,Crescent-chested Warbler,Paruline ? croissant,Oreothlypis superciliosa,Passeriformes,Parulidae,Oreothlypis,superciliosa
3817,6470,Tennessee Warbler,Paruline obscure,Oreothlypis peregrina,Passeriformes,Parulidae,Oreothlypis,peregrina
3820,6460,Orange-crowned Warbler,Paruline verd?tre,Oreothlypis celata,Passeriformes,Parulidae,Oreothlypis,celata
3823,6471,Colima Warbler,Paruline de Colima,Oreothlypis crissalis,Passeriformes,Parulidae,Oreothlypis,crissalis
3826,6430,Lucy's Warbler,Paruline de Lucy,Oreothlypis luciae,Passeriformes,Parulidae,Oreothlypis,luciae
3829,6450,Nashville Warbler,Paruline ? joues grises,Oreothlypis ruficapilla,Passeriformes,Parulidae,Oreothlypis,ruficapilla
3832,6440,Virginia's Warbler,Paruline de Virginia,Oreothlypis virginiae,Passeriformes,Parulidae,Oreothlypis,virginiae
3835,6780,Connecticut Warbler,Paruline ? gorge grise,Oporornis agilis,Passeriformes,Parulidae,Oporornis,agilis
3838,6821,Gray-crowned Yellowthroat,Paruline ? calotte grise,Geothlypis poliocephala,Passeriformes,Parulidae,Geothlypis,poliocephala
3841,6800,MacGillivray's Warbler,Paruline des buissons,Geothlypis tolmiei,Passeriformes,Parulidae,Geothlypis,tolmiei
3844,6790,Mourning Warbler,Paruline triste,Geothlypis philadelphia,Passeriformes,Parulidae,Geothlypis,philadelphia
3847,6770,Kentucky Warbler,Paruline du Kentucky,Geothlypis formosa,Passeriformes,Parulidae,Geothlypis,formosa
3850,17610,Black-polled Yellowthroat,Paruline ? face noire,Geothlypis speciosa,Passeriformes,Parulidae,Geothlypis,speciosa
3853,6820,Belding's Yellowthroat,Paruline de Belding,Geothlypis beldingi,Passeriformes,Parulidae,Geothlypis,beldingi
3856,17580,Altamira Yellowthroat,Paruline ? couronne jaune,Geothlypis flavovelata,Passeriformes,Parulidae,Geothlypis,flavovelata
3859,6810,Common Yellowthroat,Paruline masqu?e,Geothlypis trichas,Passeriformes,Parulidae,Geothlypis,trichas
3862,17620,Hooded Yellowthroat,Paruline de Nelson,Geothlypis nelsoni,Passeriformes,Parulidae,Geothlypis,nelsoni
3865,17560,Elfin-woods Warbler,Paruline d'Angela,Setophaga angelae,Passeriformes,Parulidae,Setophaga,angelae
3868,6840,Hooded Warbler,Paruline ? capuchon,Setophaga citrina,Passeriformes,Parulidae,Setophaga,citrina
3871,6870,American Redstart,Paruline flamboyante,Setophaga ruticilla,Passeriformes,Parulidae,Setophaga,ruticilla
3874,6700,Kirtland's Warbler,Paruline de Kirtland,Setophaga kirtlandii,Passeriformes,Parulidae,Setophaga,kirtlandii
3877,6500,Cape May Warbler,Paruline tigr?e,Setophaga tigrina,Passeriformes,Parulidae,Setophaga,tigrina
3880,6580,Cerulean Warbler,Paruline azur?e,Setophaga cerulea,Passeriformes,Parulidae,Setophaga,cerulea
3883,6480,Northern Parula,Paruline ? collier,Setophaga americana,Passeriformes,Parulidae,Setophaga,americana
3886,6490,Tropical Parula,Paruline ? joues noires,Setophaga pitiayumi,Passeriformes,Parulidae,Setophaga,pitiayumi
3889,6570,Magnolia Warbler,Paruline ? t?te cendr?e,Setophaga magnolia,Passeriformes,Parulidae,Setophaga,magnolia
3892,6600,Bay-breasted Warbler,Paruline ? poitrine baie,Setophaga castanea,Passeriformes,Parulidae,Setophaga,castanea
3895,6620,Blackburnian Warbler,Paruline ? gorge orang?e,Setophaga fusca,Passeriformes,Parulidae,Setophaga,fusca
3898,6520,Yellow Warbler,Paruline jaune,Setophaga petechia,Passeriformes,Parulidae,Setophaga,petechia
3901,6590,Chestnut-sided Warbler,Paruline ? flancs marron,Setophaga pensylvanica,Passeriformes,Parulidae,Setophaga,pensylvanica
3904,6610,Blackpoll Warbler,Paruline ray?e,Setophaga striata,Passeriformes,Parulidae,Setophaga,striata
3907,6540,Black-throated Blue Warbler,Paruline bleue,Setophaga caerulescens,Passeriformes,Parulidae,Setophaga,caerulescens
3910,6720,Palm Warbler,Paruline ? couronne rousse,Setophaga palmarum,Passeriformes,Parulidae,Setophaga,palmarum
3913,6710,Pine Warbler,Paruline des pins,Setophaga pinus,Passeriformes,Parulidae,Setophaga,pinus
3916,6550,Yellow-rumped Warbler,Paruline ? croupion jaune (groupe coronata),Setophaga coronata coronata,Passeriformes,Parulidae,Setophaga,coronata coronata
3919,6560,Yellow-rumped Warbler,Paruline ? croupion jaune (groupe auduboni),Setophaga coronata audoboni,Passeriformes,Parulidae,Setophaga,coronata audoboni
3922,6556,Yellow-rumped Warbler,Par. ? croupion jaune (sous-esp?ce non identifi?),Setophaga coronata,Passeriformes,Parulidae,Setophaga,coronata
3925,6630,Yellow-throated Warbler,Paruline ? gorge jaune,Setophaga dominica,Passeriformes,Parulidae,Setophaga,dominica
3928,6730,Prairie Warbler,Paruline des pr?s,Setophaga discolor,Passeriformes,Parulidae,Setophaga,discolor
3931,17510,Adelaide's Warbler,Paruline d'Ad?la?de,Setophaga adelaidae,Passeriformes,Parulidae,Setophaga,adelaidae
3934,6640,Grace's Warbler,Paruline de Grace,Setophaga graciae,Passeriformes,Parulidae,Setophaga,graciae
3937,6650,Black-throated Gray Warbler,Paruline grise,Setophaga nigrescens,Passeriformes,Parulidae,Setophaga,nigrescens
3940,6680,Townsend's Warbler,Paruline de Townsend,Setophaga townsendi,Passeriformes,Parulidae,Setophaga,townsendi
3943,6690,Hermit Warbler,Paruline ? t?te jaune,Setophaga occidentalis,Passeriformes,Parulidae,Setophaga,occidentalis
3946,6685,unid. Townsend's Warbler / Hermit Wabler,unid Paruline de Townsend\? t?te jaune,Setophaga townsendi / occidentalis,Passeriformes,Parulidae,Setophaga,townsendi / occidentalis
3949,6660,Golden-cheeked Warbler,Paruline ? dos noir,Setophaga chrysoparia,Passeriformes,Parulidae,Setophaga,chrysoparia
3952,6670,Black-throated Green Warbler,Paruline ? gorge noire,Setophaga virens,Passeriformes,Parulidae,Setophaga,virens
3955,6881,Fan-tailed Warbler,Paruline des rochers,Basileuterus lachrymosus,Passeriformes,Parulidae,Basileuterus,lachrymosus
3958,6921,Rufous-capped Warbler,Paruline ? calotte rousse,Basileuterus rufifrons,Passeriformes,Parulidae,Basileuterus,rufifrons
3961,6930,Golden-browed Warbler,Paruline ? sourcils dor?s,Basileuterus belli,Passeriformes,Parulidae,Basileuterus,belli
3964,6920,Golden-crowned Warbler,Paruline ? couronne dor?e,Basileuterus culicivorus,Passeriformes,Parulidae,Basileuterus,culicivorus
3967,6860,Canada Warbler,Paruline du Canada,Cardellina canadensis,Passeriformes,Parulidae,Cardellina,canadensis
3970,6850,Wilson's Warbler,Paruline ? calotte noire,Cardellina pusilla,Passeriformes,Parulidae,Cardellina,pusilla
3973,6900,Red-faced Warbler,Paruline ? face rouge,Cardellina rubrifrons,Passeriformes,Parulidae,Cardellina,rubrifrons
3976,6910,Red Warbler,Paruline rouge,Cardellina rubra,Passeriformes,Parulidae,Cardellina,rubra
3979,17680,Pink-headed Warbler,Paruline ? t?te rose,Cardellina versicolor,Passeriformes,Parulidae,Cardellina,versicolor
3982,6880,Painted Redstart,Paruline ? ailes blanches,Myioborus pictus,Passeriformes,Parulidae,Myioborus,pictus
3985,6890,Slate-throated Redstart,Paruline ardois?e,Myioborus miniatus,Passeriformes,Parulidae,Myioborus,miniatus
3988,6830,Yellow-breasted Chat,Paruline polyglotte,Icteria virens,Passeriformes,Parulidae,Icteria,virens
3991,6350,Bananaquit,Sucrier ? ventre jaune,Coereba flaveola,Passeriformes,Genus Incertae Sedis,Coereba,flaveola
3994,18480,Puerto Rican Tanager,Tangara de Porto Rico,Nesospingus speculiferus,Passeriformes,Thraupidae,Nesospingus,speculiferus
3997,18400,Rosy Thrush-Tanager,Tangara qu?o,Rhodinocichla rosea,Passeriformes,Thraupidae,Rhodinocichla,rosea
4000,18180,Gray-headed Tanager,Tangara ? t?te grise,Eucometis penicillata,Passeriformes,Thraupidae,Eucometis,penicillata
4003,18190,Black-throated Shrike-Tanager,Tangara ? gorge noire,Lanio aurantius,Passeriformes,Thraupidae,Lanio,aurantius
4006,18330,Crimson-collared Tanager,Tangara ceintur?,Ramphocelus sanguinolentus,Passeriformes,Thraupidae,Ramphocelus,sanguinolentus
4009,18350,Passerini's Tanager,Tangara ? croupion rouge,Ramphocelus passerinii,Passeriformes,Thraupidae,Ramphocelus,passerinii
4012,6101,Western Spindalis,Z?na ? t?te ray?e,Spindalis zena,Passeriformes,Thraupidae,Spindalis,zena
4015,18143,Puerto Rican Spindalis,Z?na de Porto Rico,Spindalis portoricensis,Passeriformes,Thraupidae,Spindalis,portoricensis
4018,18120,Blue-gray Tanager,Tangara ?v?que,Thraupis episcopus,Passeriformes,Thraupidae,Thraupis,episcopus
4021,18130,Yellow-winged Tanager,Tangara ? miroir jaune,Thraupis abbas,Passeriformes,Thraupidae,Thraupis,abbas
4024,17800,Azure-rumped Tanager,Calliste azur?,Tangara cabanisi,Passeriformes,Thraupidae,Tangara,cabanisi
4027,17880,Golden-hooded Tanager,Calliste ? coiffe d'or,Tangara larvata,Passeriformes,Thraupidae,Tangara,larvata
4030,17940,Green Honeycreeper,Guit-guit ?meraude,Chlorophanes spiza,Passeriformes,Thraupidae,Chlorophanes,spiza
4033,17950,Shining Honeycreeper,Guit-guit brillant,Cyanerpes lucidus,Passeriformes,Thraupidae,Cyanerpes,lucidus
4036,17970,Red-legged Honeycreeper,Guit-guit sa?,Cyanerpes cyaneus,Passeriformes,Thraupidae,Cyanerpes,cyaneus
4039,18530,Grayish Saltator,Saltator gris,Saltator coerulescens,Passeriformes,Genus Incertae Sedis,Saltator,coerulescens
4042,18540,Buff-throated Saltator,Saltator des grands-bois,Saltator maximus,Passeriformes,Genus Incertae Sedis,Saltator,maximus
4045,18550,Black-headed Saltator,Saltator ? t?te noire,Saltator atriceps,Passeriformes,Genus Incertae Sedis,Saltator,atriceps
4048,18810,Blue-black Grassquit,Jacarini noir,Volatinia jacarina,Passeriformes,Emberizidae,Volatinia,jacarina
4051,18830,Variable Seedeater,Sporophile variable,Sporophila americana,Passeriformes,Emberizidae,Sporophila,americana
4054,6020,White-collared Seedeater,Sporophile ? col blanc,Sporophila torqueola,Passeriformes,Emberizidae,Sporophila,torqueola
4057,18850,Ruddy-breasted Seedeater,Sporophile petit-louis,Sporophila minuta,Passeriformes,Emberizidae,Sporophila,minuta
4060,18871,Thick-billed Seed-Finch,Sporophile ? bec fort,Oryzoborus funereus,Passeriformes,Emberizidae,Oryzoborus,funereus
4063,6032,Yellow-faced Grassquit,Sporophile grand-chanteur,Tiaris olivaceus,Passeriformes,Emberizidae,Tiaris,olivaceus
4066,6030,Black-faced Grassquit,Sporophile cici,Tiaris bicolor,Passeriformes,Emberizidae,Tiaris,bicolor
4069,18910,Puerto Rican Bullfinch,Sporophile de Porto Rico,Loxigilla portoricensis,Passeriformes,Emberizidae,Loxigilla,portoricensis
4075,18970,Slaty Finch,Haplospize ardois?,Haplospiza rustica,Passeriformes,Emberizidae,Haplospiza,rustica
4078,18990,Cinnamon-bellied Flowerpiercer,Percefleur cannelle,Diglossa baritula,Passeriformes,Emberizidae,Diglossa,baritula
4081,5861,Saffron Finch,Sicale bouton-d'or,Sicalis flaveola,Passeriformes,Emberizidae,Sicalis,flaveola
4084,19010,Grassland Yellow-Finch,Sicale des savanes,Sicalis luteola,Passeriformes,Emberizidae,Sicalis,luteola
4087,5922,Red-crested Cardinal,Paroare hupp?,Paroaria coronata,Passeriformes,Emberizidae,Paroaria,coronata
4093,18730,Orange-billed Sparrow,Tohi ? bec orange,Arremon aurantiirostris,Passeriformes,Emberizidae,Arremon,aurantiirostris
4096,18700,Chestnut-capped Brush-Finch,Tohi ? nuque brune,Arremon brunneinucha,Passeriformes,Emberizidae,Arremon,brunneinucha
4099,18710,Green-striped Brush-Finch,Tohi ? raies vertes,Arremon virenticeps,Passeriformes,Emberizidae,Arremon,virenticeps
4102,5860,Olive Sparrow,Tohi olive,Arremonops rufivirgatus,Passeriformes,Emberizidae,Arremonops,rufivirgatus
4105,18740,Green-backed Sparrow,Tohi ? dos vert,Arremonops chloronotus,Passeriformes,Emberizidae,Arremonops,chloronotus
4108,18670,White-naped Brush-Finch,Tohi ? calotte blanche,Atlapetes albinucha,Passeriformes,Emberizidae,Atlapetes,albinucha
4111,18690,Rufous-capped Brush-Finch,Tohi ? calotte rousse,Atlapetes pileatus,Passeriformes,Emberizidae,Atlapetes,pileatus
4114,18790,Collared Towhee,Tohi ? collier,Pipilo ocai,Passeriformes,Emberizidae,Pipilo,ocai
4117,5900,Green-tailed Towhee,Tohi ? queue verte,Pipilo chlorurus,Passeriformes,Emberizidae,Pipilo,chlorurus
4120,5880,Spotted Towhee,Tohi tachet?,Pipilo maculatus,Passeriformes,Emberizidae,Pipilo,maculatus
4123,5870,Eastern Towhee,Tohi ? flancs roux,Pipilo erythrophthalmus,Passeriformes,Emberizidae,Pipilo,erythrophthalmus
4126,5871,unid. Spotted Towhee / Eastern Towhee,unid Tohi tachet? / Tohi ? flancs roux,Pipilo maculatus / erythrophthalmus,Passeriformes,Emberizidae,Pipilo,maculatus / erythrophthalmus
4129,19080,Rusty Sparrow,Tohi rouss?tre,Aimophila rufescens,Passeriformes,Emberizidae,Aimophila,rufescens
4132,5800,Rufous-crowned Sparrow,Tohi ? calotte fauve,Aimophila ruficeps,Passeriformes,Emberizidae,Aimophila,ruficeps
4135,19070,Oaxaca Sparrow,Tohi d'Oaxaca,Aimophila notosticta,Passeriformes,Emberizidae,Aimophila,notosticta
4138,18780,White-eared Ground-Sparrow,Tohi oreillard,Melozone leucotis,Passeriformes,Emberizidae,Melozone,leucotis
4141,18770,Prevost's Ground-Sparrow,Tohi ? face blanche,Melozone biarcuata,Passeriformes,Emberizidae,Melozone,biarcuata
4144,18760,Rusty-crowned Ground-Sparrow,Tohi de Kiener,Melozone kieneri,Passeriformes,Emberizidae,Melozone,kieneri
4147,5910,Canyon Towhee,Tohi des canyons,Melozone fusca,Passeriformes,Emberizidae,Melozone,fusca
4150,18800,White-throated Towhee,Tohi ? gorge blanche,Melozone albicollis,Passeriformes,Emberizidae,Melozone,albicollis
4153,5911,California Towhee,Tohi de Californie,Melozone crissalis,Passeriformes,Emberizidae,Melozone,crissalis
4156,5920,Abert's Towhee,Tohi d'Abert,Melozone aberti,Passeriformes,Emberizidae,Melozone,aberti
4159,19060,Cinnamon-tailed Sparrow,Bruant ? queue rousse,Peucaea sumichrasti,Passeriformes,Emberizidae,Peucaea,sumichrasti
4162,5790,Rufous-winged Sparrow,Bruant ? ?paulettes,Peucaea carpalis,Passeriformes,Emberizidae,Peucaea,carpalis
4165,19050,Stripe-headed Sparrow,Bruant lign?,Peucaea ruficauda,Passeriformes,Emberizidae,Peucaea,ruficauda
4168,19040,Black-chested Sparrow,Bruant ? plastron,Peucaea humeralis,Passeriformes,Emberizidae,Peucaea,humeralis
4171,19030,Bridled Sparrow,Bruant ? moustaches,Peucaea mystacalis,Passeriformes,Emberizidae,Peucaea,mystacalis
4174,5760,Botteri's Sparrow,Bruant de Botteri,Peucaea botterii,Passeriformes,Emberizidae,Peucaea,botterii
4177,5780,Cassin's Sparrow,Bruant de Cassin,Peucaea cassinii,Passeriformes,Emberizidae,Peucaea,cassinii
4180,5750,Bachman's Sparrow,Bruant des pin?des,Peucaea aestivalis,Passeriformes,Emberizidae,Peucaea,aestivalis
4183,19090,Striped Sparrow,Bruant ray?,Oriturus superciliosus,Passeriformes,Emberizidae,Oriturus,superciliosus
4186,5590,American Tree Sparrow,Bruant hudsonien,Spizella arborea,Passeriformes,Emberizidae,Spizella,arborea
4189,5600,Chipping Sparrow,Bruant familier,Spizella passerina,Passeriformes,Emberizidae,Spizella,passerina
4192,5610,Clay-colored Sparrow,Bruant des plaines,Spizella pallida,Passeriformes,Emberizidae,Spizella,pallida
4195,5620,Brewer's Sparrow,Bruant de Brewer,Spizella breweri,Passeriformes,Emberizidae,Spizella,breweri
4198,5630,Field Sparrow,Bruant des champs,Spizella pusilla,Passeriformes,Emberizidae,Spizella,pusilla
4201,5640,Worthen's Sparrow,Bruant de Worthen,Spizella wortheni,Passeriformes,Emberizidae,Spizella,wortheni
4204,5650,Black-chinned Sparrow,Bruant ? menton noir,Spizella atrogularis,Passeriformes,Emberizidae,Spizella,atrogularis
4207,5400,Vesper Sparrow,Bruant vesp?ral,Pooecetes gramineus,Passeriformes,Emberizidae,Pooecetes,gramineus
4210,5520,Lark Sparrow,Bruant ? joues marron,Chondestes grammacus,Passeriformes,Emberizidae,Chondestes,grammacus
4213,5742,Five-striped Sparrow,Bruant pentaligne,Amphispiza quinquestriata,Passeriformes,Emberizidae,Amphispiza,quinquestriata
4216,5730,Black-throated Sparrow,Bruant ? gorge noire,Amphispiza bilineata,Passeriformes,Emberizidae,Amphispiza,bilineata
4219,5740,Sage Sparrow,Bruant de Bell,Amphispiza belli,Passeriformes,Emberizidae,Amphispiza,belli
4222,6050,Lark Bunting,Bruant noir et blanc,Calamospiza melanocorys,Passeriformes,Emberizidae,Calamospiza,melanocorys
4225,5420,Savannah Sparrow,Bruant des pr?s,Passerculus sandwichensis,Passeriformes,Emberizidae,Passerculus,sandwichensis
4228,5460,Grasshopper Sparrow,Bruant sauterelle,Ammodramus savannarum,Passeriformes,Emberizidae,Ammodramus,savannarum
4231,5450,Baird's Sparrow,Bruant de Baird,Ammodramus bairdii,Passeriformes,Emberizidae,Ammodramus,bairdii
4234,5470,Henslow's Sparrow,Bruant de Henslow,Ammodramus henslowii,Passeriformes,Emberizidae,Ammodramus,henslowii
4237,5480,Le Conte's Sparrow,Bruant de Le Conte,Ammodramus leconteii,Passeriformes,Emberizidae,Ammodramus,leconteii
4240,5491,Nelson's Sparrow,Bruant de Nelson,Ammodramus nelsoni,Passeriformes,Emberizidae,Ammodramus,nelsoni
4243,5490,Saltmarsh Sparrow,Bruant ? queue aigu?,Ammodramus caudacutus,Passeriformes,Emberizidae,Ammodramus,caudacutus
4246,5492,unid. Nelson's Sparrow / Saltmarsh Sparrow,unid Bruant de Nelson / Bruant ? queue aigu?,Ammodramus nelsoni / caudacutus,Passeriformes,Emberizidae,Ammodramus,nelsoni / caudacutus
4249,5500,Seaside Sparrow,Bruant maritime,Ammodramus maritimus,Passeriformes,Emberizidae,Ammodramus,maritimus
4252,19110,Sierra Madre Sparrow,Bruant des sierras,Xenospiza baileyi,Passeriformes,Emberizidae,Xenospiza,baileyi
4255,5850,Fox Sparrow,Bruant fauve,Passerella iliaca,Passeriformes,Emberizidae,Passerella,iliaca
4267,5810,Song Sparrow,Bruant chanteur,Melospiza melodia,Passeriformes,Emberizidae,Melospiza,melodia
4270,5830,Lincoln's Sparrow,Bruant de Lincoln,Melospiza lincolnii,Passeriformes,Emberizidae,Melospiza,lincolnii
4273,5840,Swamp Sparrow,Bruant des marais,Melospiza georgiana,Passeriformes,Emberizidae,Melospiza,georgiana
4276,19120,Rufous-collared Sparrow,Bruant chingolo,Zonotrichia capensis,Passeriformes,Emberizidae,Zonotrichia,capensis
4279,5580,White-throated Sparrow,Bruant ? gorge blanche,Zonotrichia albicollis,Passeriformes,Emberizidae,Zonotrichia,albicollis
4282,5530,Harris's Sparrow,Bruant ? face noire,Zonotrichia querula,Passeriformes,Emberizidae,Zonotrichia,querula
4285,5540,White-crowned Sparrow,Bruant ? couronne blanche,Zonotrichia leucophrys,Passeriformes,Emberizidae,Zonotrichia,leucophrys
4288,5570,Golden-crowned Sparrow,Bruant ? couronne dor?e,Zonotrichia atricapilla,Passeriformes,Emberizidae,Zonotrichia,atricapilla
4291,5670,Dark-eyed Junco,Junco ardois? (groupe hyemalis),Junco hyemalis hyemalis,Passeriformes,Emberizidae,Junco,hyemalis hyemalis
4294,5671,Dark-eyed Junco,Junco ardois? (groupe oreganus),Junco hyemalis oreganus,Passeriformes,Emberizidae,Junco,hyemalis oreganus
4297,5680,Dark-eyed Junco,Junco ardois? (groupe mearnsi),Junco hyemalis mearnsi,Passeriformes,Emberizidae,Junco,hyemalis mearnsi
4300,5660,Dark-eyed Junco,Junco ardois? (? ailes blanches),Junco hyemalis aikeni,Passeriformes,Emberizidae,Junco,hyemalis aikeni
4303,5690,Dark-eyed Junco,Junco ardois? (? t?te grise),Junco hyemalis caniceps,Passeriformes,Emberizidae,Junco,hyemalis caniceps
4306,5720,Dark-eyed Junco,Junco ardois? (groupe guadalupensis),Junco hyemalis insularis,Passeriformes,Emberizidae,Junco,hyemalis insularis
4309,5677,Dark-eyed Junco,Junco ardois? (groupe non identifi?),Junco hyemalis,Passeriformes,Emberizidae,Junco,hyemalis
4312,5700,Yellow-eyed Junco,Junco aux yeux jaunes,Junco phaeonotus,Passeriformes,Emberizidae,Junco,phaeonotus
4315,18420,Common Bush-Tanager,Chlorospin des buissons,Chlorospingus ophthalmicus,Passeriformes,Emberizidae,Chlorospingus,ophthalmicus
4327,5351,Rustic Bunting,Bruant rustique,Emberiza rustica,Passeriformes,Emberizidae,Emberiza,rustica
4345,18290,Rose-throated Tanager,Piranga ? gorge rose,Piranga roseogularis,Passeriformes,Cardinalidae,Piranga,roseogularis
4348,6090,Hepatic Tanager,Tangara orang?,Piranga flava,Passeriformes,Cardinalidae,Piranga,flava
4351,6100,Summer Tanager,Tangara vermillon,Piranga rubra,Passeriformes,Cardinalidae,Piranga,rubra
